direction,exposure_abbr,exposure,outcome_abbr,outcome,method,nsnp,b,se,pval,lo95,hi95,OR,OR_lo95,OR_hi95,F_mean,F_min,Q,Q_pval,I2,egger_intercept,egger_intercept_pval,note,pval_FDR_BH,pval_Bonferroni,sig_nominal
forward,CD40,CD40 / TNF receptor superfamily member 5 measurement,DISCITIS,Discitis (M46.4),IVW (random effects),3,0.1071584315513118,0.1504356737321957,0.4762662615756405,-0.1876954889637918,0.4020123520664155,1.113110592348143,0.8288670679771633,1.4948297967989372,528.4267457775946,49.72808258864325,1.3450323042279124,0.510422659628093,0.0,0.0617325004325753,0.597020525509376,"Q=1.345, df=2",0.6962484263035378,1.0,False
forward,CRP,C-reactive protein measurement,DISCITIS,Discitis (M46.4),IVW (random effects),13,0.0258235609849948,0.3413978261740605,0.9397049775729828,-0.6433161783161637,0.6949633002861534,1.026159877861864,0.5255467244654959,2.00363553974088,92.15894014471976,32.327196698420515,32.79871516866786,0.0010405394256477,63.41320097970355,-0.0855797729649267,0.2523086668583111,"Q=32.799, df=12",0.9397049775729828,1.0,False
forward,EOS,Eosinophil count,DISCITIS,Discitis (M46.4),IVW (random effects),13,0.1695915197648422,0.547159543024982,0.7565997862217222,-0.9028411845641224,1.2420242240938069,1.1848207765901753,0.405416159728271,3.4626154852353164,92.4822061189762,33.51133189166632,14.616343794098166,0.263090744662992,17.900124894124353,-0.0761858548981853,0.3687132895796478,"Q=14.616, df=12",0.8631595912041805,1.0,False
forward,IL6R,Interleukin-6 receptor subunit alpha measurement,DISCITIS,Discitis (M46.4),IVW (random effects),4,0.0191031798681217,0.1237089271993335,0.8772782834276545,-0.223366317442572,0.2615726771788155,1.0192868130708383,0.7998218069457355,1.298971343714056,430.7785596184135,61.14063288814258,2.319895371721914,0.5087202004753077,0.0,0.1892748705261627,0.4389586058358525,"Q=2.320, df=3",0.9180819245173129,1.0,False
forward,LYMPH,Lymphocyte count,DISCITIS,Discitis (M46.4),IVW (random effects),18,-0.657160740904224,0.4707676837543328,0.1627342909229011,-1.5798654010627164,0.2655439192542683,0.518320894588029,0.2060028241001048,1.3041401298264914,101.52346598770178,31.52982846010276,19.321535182315905,0.310391539091192,12.0152729087526,-0.0352271230365745,0.415225990640417,"Q=19.322, df=17",0.6144272967495193,1.0,False
forward,MONO,Monocyte count,DISCITIS,Discitis (M46.4),IVW (random effects),39,0.4000592863168306,0.3514675486474908,0.2550145034367624,-0.2888171090322515,1.0889356816659126,1.4919131450547851,0.7491492054974289,2.971110182128998,79.80564683549846,29.766264422580456,43.8577311059592,0.2370445680318717,13.35621099916697,-0.0136862371445158,0.6843394767978358,"Q=43.858, df=38",0.6144272967495193,1.0,False
forward,NEUT,Neutrophil count,DISCITIS,Discitis (M46.4),IVW (random effects),29,0.3677205070988275,0.3231767837289745,0.2551911299777012,-0.2657059890099625,1.0011470032076175,1.444438272308257,0.7666645021573886,2.721401495227368,112.94904673089827,30.41066943397951,21.34443333847685,0.8106988148343717,0.0,-0.026507768856057,0.3785433441871745,"Q=21.344, df=28",0.6144272967495193,1.0,False
forward,WBC,White blood cell (leukocyte) count,DISCITIS,Discitis (M46.4),IVW (random effects),28,0.3455594266227803,0.3302745050638623,0.2954320316309164,-0.3017786033023898,0.9928974565479504,1.4127800454078994,0.7395017700167344,2.699043515010896,116.14549422779368,30.303282831694645,26.69559412457068,0.4803076028239968,0.0,-0.0292190269238452,0.3676191564690141,"Q=26.696, df=27",0.6144272967495193,1.0,False
forward,CCL2,CCL2 / MCP-1 measurement,DISCINF,Pyogenic intervertebral disc infection,IVW (random effects),7,-0.2881592015620985,0.292917287221568,0.3252353928001092,-0.8622770845163719,0.2859586813921748,0.7496422385232564,0.4221996027317491,1.331037457501377,107.02019170886231,29.81949336425167,8.541244270971882,0.2010689373403672,29.752623743691643,0.1602965790406817,0.0675192142325593,"Q=8.541, df=6",0.6144272967495193,1.0,False
forward,CD40,CD40 / TNF receptor superfamily member 5 measurement,DISCINF,Pyogenic intervertebral disc infection,IVW (random effects),3,0.1992457917465901,0.1726945754638203,0.248604043189095,-0.1392355761624976,0.537727159655678,1.220481913417231,0.8700230476240567,1.712111081478202,528.4267457775946,49.72808258864325,0.0281848504620855,0.9860064081812042,0.0,0.0160177914270019,0.8953810122059569,"Q=0.028, df=2",0.6144272967495193,1.0,False
forward,CRP,C-reactive protein measurement,DISCINF,Pyogenic intervertebral disc infection,IVW (random effects),13,0.0561522705555003,0.3532271158086875,0.8736930540956738,-0.6361728764295272,0.7484774175405279,1.0577587369849324,0.5293143038316822,2.113779162151163,92.15894014471976,32.327196698420515,26.75190191188061,0.0083881094870327,55.14337619984037,-0.0717403587508687,0.3588269280543479,"Q=26.752, df=12",0.9180819245173129,1.0,False
forward,EOS,Eosinophil count,DISCINF,Pyogenic intervertebral disc infection,IVW (random effects),13,-0.1688866981149185,0.5698130299027885,0.7669325102992901,-1.285720236724384,0.9479468404945468,0.8446045932575751,0.2764514014595873,2.580406231205432,92.4822061189762,33.51133189166632,9.07162697504467,0.6968006632986685,0.0,-0.0665387409418786,0.4462376306545281,"Q=9.072, df=12",0.8631595912041805,1.0,False
forward,IL6R,Interleukin-6 receptor subunit alpha measurement,DISCINF,Pyogenic intervertebral disc infection,IVW (random effects),4,-0.1027107603091136,0.2021796370250993,0.6114411865677433,-0.4989828488783084,0.2935613282600811,0.9023879421478952,0.6071479069171268,1.3411954300701596,430.7785596184135,61.14063288814258,6.074874812428073,0.1080236863806939,50.61626629963545,0.5168297289367604,0.1490566147721249,"Q=6.075, df=3",0.8200462211525517,1.0,False
forward,LYMPH,Lymphocyte count,DISCINF,Pyogenic intervertebral disc infection,IVW (random effects),18,0.5375980485838947,0.505723089769361,0.2877690350123387,-0.4536192073640528,1.5288153045318422,1.711890043251009,0.6353246141242712,4.612708928681164,101.52346598770178,31.52982846010276,15.359092120333608,0.5696337453673431,0.0,0.0571747083205819,0.2205334733219932,"Q=15.359, df=17",0.6144272967495193,1.0,False
forward,MONO,Monocyte count,DISCINF,Pyogenic intervertebral disc infection,IVW (random effects),39,-0.4135455306882007,0.3759245005228929,0.2712989983294596,-1.1503575517130709,0.3232664903366694,0.6613014241860219,0.3165235755972617,1.3816334938251091,79.80564683549846,29.766264422580456,32.42560189025157,0.7244579639014433,0.0,0.0444809613017481,0.2157256710075848,"Q=32.426, df=38",0.6144272967495193,1.0,False
