direction,exposure_abbr,exposure,outcome_abbr,outcome,method,nsnp,b,se,pval,lo95,hi95,OR,OR_lo95,OR_hi95,F_mean,F_min,Q,Q_pval,I2,egger_intercept,egger_intercept_pval,note
forward,CD40,CD40 / TNF receptor superfamily member 5 measurement,VOM,Vertebral osteomyelitis (M46.2),Weighted median,3,-0.4001994205966838,0.3309764863316852,0.2266061488464164,-1.0489133338067869,0.24851449261341918,0.6701863837400401,0.35031822131854634,1.2821194034955374,528.4267457775946,49.72808258864325,0.012619552954735443,0.9937100883593765,0.0,0.004917397553951671,0.9828690123733872,bootstrap n=1000
forward,CD40,CD40 / TNF receptor superfamily member 5 measurement,VOM,Vertebral osteomyelitis (M46.2),Weighted mode,3,-0.4005449074953106,0.3263890143092675,0.21974707354563894,-1.0402673755414749,0.2391775605508537,0.6699548831173386,0.35336018945485975,1.2702040546933322,528.4267457775946,49.72808258864325,0.012619552954735443,0.9937100883593765,0.0,0.004917397553951671,0.9828690123733872,"phi=1.0, bootstrap n=1000"
forward,CCL2,CCL2 / MCP-1 measurement,VOM,Vertebral osteomyelitis (M46.2),IVW (random effects),7,-0.36490133274828807,0.4700253763717345,0.43754596035083115,-1.2861510704368877,0.5563484049403116,0.6942651487328606,0.2763323225294204,1.7442914109106553,107.02019170886231,29.81949336425167,4.834529296414835,0.5652046124041956,0.0,-0.14092700451951118,0.33601841897689794,"Q=4.835, df=6"
forward,CCL2,CCL2 / MCP-1 measurement,VOM,Vertebral osteomyelitis (M46.2),IVW (fixed effects),7,-0.36490133274828807,0.4700253763717345,0.43754596035083115,-1.2861510704368877,0.5563484049403116,0.6942651487328606,0.2763323225294204,1.7442914109106553,107.02019170886231,29.81949336425167,4.834529296414835,0.5652046124041956,0.0,-0.14092700451951118,0.33601841897689794,"Q=4.835, df=6"
forward,CCL2,CCL2 / MCP-1 measurement,VOM,Vertebral osteomyelitis (M46.2),MR-Egger,7,0.45414771558864353,0.9019772320721748,0.6146110820892914,-1.313727659272819,2.222023090450106,1.5748306073247202,0.26881613145704303,9.225976984060077,107.02019170886231,29.81949336425167,4.834529296414835,0.5652046124041956,0.0,-0.14092700451951118,0.33601841897689794,dispersion-adjusted
forward,CCL2,CCL2 / MCP-1 measurement,VOM,Vertebral osteomyelitis (M46.2),Weighted median,7,-0.08490430338175617,0.5428176122881553,0.8757066599392068,-1.1488268234665406,0.9790182167030282,0.9186001871268197,0.3170084581921848,2.6618416070080455,107.02019170886231,29.81949336425167,4.834529296414835,0.5652046124041956,0.0,-0.14092700451951118,0.33601841897689794,bootstrap n=1000
forward,CCL2,CCL2 / MCP-1 measurement,VOM,Vertebral osteomyelitis (M46.2),Weighted mode,7,-0.0797811014561054,0.5682099309597053,0.8883378021913364,-1.1934725661371277,1.033910363224917,0.9233184373286046,0.3031666677444066,2.812040462936629,107.02019170886231,29.81949336425167,4.834529296414835,0.5652046124041956,0.0,-0.14092700451951118,0.33601841897689794,"phi=1.0, bootstrap n=1000"
forward,NEUT,Neutrophil count,VOM,Vertebral osteomyelitis (M46.2),IVW (random effects),29,-0.0844675223183013,0.7037976889389634,0.9044698668653863,-1.4639109926386698,1.294975948002067,0.919001501930416,0.23132977418281708,3.650908161449688,112.94904673089829,30.41066943397951,24.133986212444036,0.6744438436525831,0.0,0.0316783320290852,0.626903026003426,"Q=24.134, df=28"
forward,NEUT,Neutrophil count,VOM,Vertebral osteomyelitis (M46.2),IVW (fixed effects),29,-0.0844675223183013,0.7037976889389634,0.9044698668653863,-1.4639109926386698,1.294975948002067,0.919001501930416,0.23132977418281708,3.650908161449688,112.94904673089829,30.41066943397951,24.133986212444036,0.6744438436525831,0.0,0.0316783320290852,0.626903026003426,"Q=24.134, df=28"
forward,NEUT,Neutrophil count,VOM,Vertebral osteomyelitis (M46.2),MR-Egger,29,-0.5902989300467237,1.2464442742636428,0.6357949479916354,-3.0333297076034635,1.8527318475100159,0.5541616044180272,0.04815502871800587,6.377217332991324,112.94904673089829,30.41066943397951,24.133986212444036,0.6744438436525831,0.0,0.0316783320290852,0.626903026003426,dispersion-adjusted
forward,NEUT,Neutrophil count,VOM,Vertebral osteomyelitis (M46.2),Weighted median,29,-0.28897506883352764,1.0215079005206178,0.7772606360048253,-2.291130553853938,1.713180416186883,0.7490308793834332,0.10115203935774425,5.546573868725122,112.94904673089829,30.41066943397951,24.133986212444036,0.6744438436525831,0.0,0.0316783320290852,0.626903026003426,bootstrap n=1000
forward,NEUT,Neutrophil count,VOM,Vertebral osteomyelitis (M46.2),Weighted mode,29,-0.40896834276692573,1.0255171702698456,0.6900462570804554,-2.418981996495823,1.6010453109619713,0.6643352630055889,0.08901218606931664,4.958212590453831,112.94904673089829,30.41066943397951,24.133986212444036,0.6744438436525831,0.0,0.0316783320290852,0.626903026003426,"phi=1.0, bootstrap n=1000"
forward,LYMPH,Lymphocyte count,VOM,Vertebral osteomyelitis (M46.2),IVW (random effects),18,1.1755488784891457,1.0612802169716327,0.2680041074781424,-0.9045603467752541,3.2556581037535457,3.239920778707637,0.40471978235103295,25.936677943745472,101.52346598770178,31.529828460102756,20.873214616262374,0.23201287008465207,18.555908552987052,-0.18964387348613862,0.04035060899038839,"Q=20.873, df=17"
forward,LYMPH,Lymphocyte count,VOM,Vertebral osteomyelitis (M46.2),IVW (fixed effects),18,1.1755488784891457,0.9577669799189019,0.21967790038091428,-0.7016744021519021,3.0527721591301935,3.239920778707637,0.495754516020655,21.173960726691906,101.52346598770178,31.529828460102756,20.873214616262374,0.23201287008465207,18.555908552987052,-0.18964387348613862,0.04035060899038839,"Q=20.873, df=17"
forward,LYMPH,Lymphocyte count,VOM,Vertebral osteomyelitis (M46.2),MR-Egger,18,4.848003950488612,1.9045379313253112,0.010912092957091713,1.1151096050910017,8.580898295886222,127.48566800656592,3.0499024456987995,5328.89029614733,101.52346598770178,31.529828460102756,20.873214616262374,0.23201287008465207,18.555908552987052,-0.18964387348613862,0.04035060899038839,dispersion-adjusted
forward,LYMPH,Lymphocyte count,VOM,Vertebral osteomyelitis (M46.2),Weighted median,18,2.5523923173500394,1.3459205484145673,0.05790829210129169,-0.0856119575425125,5.190396592242591,12.837779117183505,0.9179503658338165,179.53974288347234,101.52346598770178,31.529828460102756,20.873214616262374,0.23201287008465207,18.555908552987052,-0.18964387348613862,0.04035060899038839,bootstrap n=1000
forward,LYMPH,Lymphocyte count,VOM,Vertebral osteomyelitis (M46.2),Weighted mode,18,2.4263751861047,1.3432399328950124,0.07086209038548524,-0.2063750823695245,5.059125454578924,11.31778278006079,0.8135278790848933,157.45275650630015,101.52346598770178,31.529828460102756,20.873214616262374,0.23201287008465207,18.555908552987052,-0.18964387348613862,0.04035060899038839,"phi=1.0, bootstrap n=1000"
forward,MONO,Monocyte count,VOM,Vertebral osteomyelitis (M46.2),IVW (random effects),39,0.7713511011005731,0.7880835864213823,0.32769455826641036,-0.7732927282853361,2.3159949304864824,2.162686288534262,0.46149099933969345,10.135001526153946,79.80564683549846,29.766264422580456,46.523098285098584,0.16155311778226006,18.320143325081478,-0.0005752582055767693,0.9939341352708562,"Q=46.523, df=38"
forward,MONO,Monocyte count,VOM,Vertebral osteomyelitis (M46.2),IVW (fixed effects),39,0.7713511011005731,0.7122455851814453,0.2788151957112235,-0.6246502458550596,2.1673524480562056,2.162686288534262,0.5354486711647785,8.73512669746591,79.80564683549846,29.766264422580456,46.523098285098584,0.16155311778226006,18.320143325081478,-0.0005752582055767693,0.9939341352708562,"Q=46.523, df=38"
forward,MONO,Monocyte count,VOM,Vertebral osteomyelitis (M46.2),MR-Egger,39,0.7830392884205329,1.7233028197692588,0.6495532764710721,-2.5946342383272145,4.160712815168281,2.1881124745382143,0.07467318366866635,64.11721003451437,79.80564683549846,29.766264422580456,46.523098285098584,0.16155311778226006,18.320143325081478,-0.0005752582055767693,0.9939341352708562,dispersion-adjusted
forward,MONO,Monocyte count,VOM,Vertebral osteomyelitis (M46.2),Weighted median,39,0.7060571892369328,1.1159659412751344,0.5269380341006593,-1.4812360556623307,2.893350434136196,2.0259874052287024,0.22735648935475422,18.053696104273953,79.80564683549846,29.766264422580456,46.523098285098584,0.16155311778226006,18.320143325081478,-0.0005752582055767693,0.9939341352708562,bootstrap n=1000
forward,MONO,Monocyte count,VOM,Vertebral osteomyelitis (M46.2),Weighted mode,39,0.9395521944120695,1.607234495307389,0.5588322289586583,-2.210627416390413,4.0897318052145515,2.558835300983174,0.10963184211798177,59.72387192501353,79.80564683549846,29.766264422580456,46.523098285098584,0.16155311778226006,18.320143325081478,-0.0005752582055767693,0.9939341352708562,"phi=1.0, bootstrap n=1000"
forward,EOS,Eosinophil count,VOM,Vertebral osteomyelitis (M46.2),IVW (random effects),13,-1.7859622696924915,1.0850570247690472,0.09977165128151695,-3.912674038239824,0.3407494988548412,0.1676356726359154,0.019986983581284017,1.4060009918860632,92.48220611897621,33.51133189166632,10.047643384617698,0.6117808040176362,0.0,-0.02618023216319553,0.8733846259629527,"Q=10.048, df=12"
forward,EOS,Eosinophil count,VOM,Vertebral osteomyelitis (M46.2),IVW (fixed effects),13,-1.7859622696924915,1.0850570247690472,0.09977165128151695,-3.912674038239824,0.3407494988548412,0.1676356726359154,0.019986983581284017,1.4060009918860632,92.48220611897621,33.51133189166632,10.047643384617698,0.6117808040176362,0.0,-0.02618023216319553,0.8733846259629527,"Q=10.048, df=12"
forward,EOS,Eosinophil count,VOM,Vertebral osteomyelitis (M46.2),MR-Egger,13,-1.396302770543312,2.623717591188094,0.5945979700726186,-6.538789249271977,3.7461837081853524,0.24751037700897877,0.0014462384737001356,42.35911838964724,92.48220611897621,33.51133189166632,10.047643384617698,0.6117808040176362,0.0,-0.02618023216319553,0.8733846259629527,dispersion-adjusted
forward,EOS,Eosinophil count,VOM,Vertebral osteomyelitis (M46.2),Weighted median,13,-2.669859478729483,1.4277197072067707,0.0614815198958476,-5.468190104854753,0.12847114739578736,0.06926195740379971,0.004218860948208001,1.1370886128502118,92.48220611897621,33.51133189166632,10.047643384617698,0.6117808040176362,0.0,-0.02618023216319553,0.8733846259629527,bootstrap n=1000
forward,EOS,Eosinophil count,VOM,Vertebral osteomyelitis (M46.2),Weighted mode,13,-2.7108978218218045,1.5875138170835479,0.0877036612380148,-5.822424903305558,0.4006292596619492,0.0664770953270995,0.002960417707198288,1.4927637381653711,92.48220611897621,33.51133189166632,10.047643384617698,0.6117808040176362,0.0,-0.02618023216319553,0.8733846259629527,"phi=1.0, bootstrap n=1000"
forward,WBC,White blood cell (leukocyte) count,VOM,Vertebral osteomyelitis (M46.2),IVW (random effects),28,0.3970578801220321,0.7998251849908466,0.6195904782041501,-1.1705994824600272,1.9647152427040915,1.487442020885493,0.31018093748659603,7.132881160988589,116.14549422779369,30.303282831694645,34.198417902096985,0.1603549061462619,21.04897929110221,-0.07497524916267168,0.34768410349577156,"Q=34.198, df=27"
forward,WBC,White blood cell (leukocyte) count,VOM,Vertebral osteomyelitis (M46.2),IVW (fixed effects),28,0.3970578801220321,0.7106797643735739,0.5763654268904836,-0.9958744580501728,1.789990218294237,1.487442020885493,0.36940027821992977,5.989393879607946,116.14549422779369,30.303282831694645,34.198417902096985,0.1603549061462619,21.04897929110221,-0.07497524916267168,0.34768410349577156,"Q=34.198, df=27"
forward,WBC,White blood cell (leukocyte) count,VOM,Vertebral osteomyelitis (M46.2),MR-Egger,28,1.6658937003614642,1.5497942678040288,0.28241376938616747,-1.3717030645344324,4.703490465257361,5.290399169318115,0.25367456730249693,110.3316097799699,116.14549422779369,30.303282831694645,34.198417902096985,0.1603549061462619,21.04897929110221,-0.07497524916267168,0.34768410349577156,dispersion-adjusted
forward,WBC,White blood cell (leukocyte) count,VOM,Vertebral osteomyelitis (M46.2),Weighted median,28,0.04844138435322837,1.1118054676210678,0.9652471510794095,-2.1306973321840643,2.227580100890521,1.049633845050426,0.11875445366965894,9.277388549485849,116.14549422779369,30.303282831694645,34.198417902096985,0.1603549061462619,21.04897929110221,-0.07497524916267168,0.34768410349577156,bootstrap n=1000
forward,WBC,White blood cell (leukocyte) count,VOM,Vertebral osteomyelitis (M46.2),Weighted mode,28,0.018601364133512988,1.2912100224005054,0.9885059536080314,-2.5121702797714778,2.5493730080385038,1.0187754472264046,0.0810920556781684,12.799076348372617,116.14549422779369,30.303282831694645,34.198417902096985,0.1603549061462619,21.04897929110221,-0.07497524916267168,0.34768410349577156,"phi=1.0, bootstrap n=1000"
